time, id1, id2, amount, message
11/2/2016 9:38,0,1,23.74, 🦄 
11/2/2016 9:38,0,19,37.1, Pitcher 
11/2/2016 9:38,0,20,18.68, 🚕 
11/2/2016 9:38,1,2,20.92, For your wife. 
11/2/2016 9:38,1,5,39.09, 🍺🍺🍺🏌🏌🏌 
11/2/2016 9:38,1,3,21.74, 🚗🌃 
11/2/2016 9:38,3,6,36.92, Best hair stylist on the west coast... And rent 
11/2/2016 9:38,3,4,32.07, Juice 
11/2/2016 9:38,5,9,3.19, Milk 
11/2/2016 9:38,5,6,14.96, ✨ 
11/2/2016 9:38,5,10,20, Zombies 
11/2/2016 9:38,6,3,24.95, 💋💋💋 
11/2/2016 9:38,6,8,24.95, 💋💋💋 
11/2/2016 9:38,6,7,22.98, 🌚🌚🌚🌚 
11/2/2016 9:38,8,15,28.63, Debauchery in the form of adulting 
11/2/2016 9:38,8,18,2.94, Garlic rosemary challah 
11/2/2016 9:38,10,11,2.94, Garlic rosemary challah 
11/2/2016 9:38,10,12,2.94, Garlic rosemary challah 
11/2/2016 9:38,12,13,22.74, Delish 
11/2/2016 9:38,12,14,3.42, Exterminating 
11/2/2016 9:38,15,16,41.74, 🚕 
11/2/2016 9:38,15,17,29.53, 🍗 
11/2/2016 9:38,16,25,34.52, 🚕 
11/2/2016 9:38,20,21,29.09, 🚕 💸 
11/2/2016 9:38,20,22,14.95, 🎂🎉 
11/2/2016 9:38,22,23,8.66, Turkey bacon avacadoooooo 
11/2/2016 9:38,22,24,8.66, Turkey bacon avacadoooooo 
